female,wjtest01,wjtest07,wjtest10,age,cutoff,white,black,hispanic,other,freelunch,agexcutoff
1,13,,12,-241,0,0,0,1,0,1,0
1,2,,5,-130,0,0,1,0,0,1,0
1,0,0,0,-133,0,0,0,1,0,1,0
1,1,3,3,-305,0,0,1,0,0,1,0
1,2,,7,-26,0,1,0,0,0,1,0
1,,,,-76,0,0,0,1,0,1,0
1,,,,-144,0,1,0,0,0,1,0
0,10,,7,-323,0,0,1,0,0,1,0
1,5,,12,-356,0,1,0,0,0,1,0
1,3,6,11,216,1,1,0,0,0,1,216
1,,,,343,1,0,1,0,0,,343
1,11,11,10,168,1,0,1,0,0,1,168
0,3,5,12,140,1,0,1,0,0,1,140
1,13,10,18,317,1,0,1,0,0,1,317
1,,,,261,1,0,0,0,1,1,261
0,,,,316,1,0,1,0,0,1,316
0,3,5,13,228,1,0,0,0,1,1,228
0,15,7,2,157,1,0,0,1,0,1,157
0,7,7,12,76,1,1,0,0,0,1,76
0,,,,108,1,0,1,0,0,1,108
1,6,8,7,47,1,0,1,0,0,1,47
0,,,,44,1,0,1,0,0,1,44
1,9,11,10,242,1,0,1,0,0,1,242
0,,,,203,1,0,1,0,0,1,203
0,,,,36,1,0,1,0,0,1,36
0,4,8,13,20,1,0,0,1,0,1,20
0,,,,330,1,0,1,0,0,1,330
0,12,8,15,45,1,0,1,0,0,1,45
0,,,,269,1,1,0,0,0,1,269
1,6,7,11,193,1,0,0,1,0,1,193
0,2,5,6,5,1,0,0,1,0,1,5
0,2,2,2,216,1,0,0,0,1,1,216
0,6,10,17,133,1,0,0,1,0,1,133
0,,,,254,1,0,0,1,0,1,254
0,,,,8,1,0,1,0,0,1,8
0,,,,338,1,0,1,0,0,1,338
0,4,9,6,140,1,0,0,1,0,,140
0,6,7,11,218,1,0,0,0,1,1,218
1,,,,-345,0,1,0,0,0,1,0
1,,,,-119,0,1,0,0,0,1,0
0,,,,-60,0,0,0,1,0,1,0
1,,,,-77,0,0,0,1,0,1,0
1,1,5,8,-318,0,0,1,0,0,1,0
1,,,,-304,0,0,0,1,0,1,0
0,,,,-48,0,0,0,1,0,1,0
0,,,,-197,0,0,0,1,0,1,0
1,,,,-309,0,0,0,1,0,1,0
0,,,,-35,0,0,0,1,0,1,0
0,,,,-132,0,0,1,0,0,0,0
