ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
.2,37143,.41999999,.50400001,1,.95999998,.39700001
.2,40847,.44,.69800001,1,.94,.48199999
.31,32489,.41999999,.44,0,.94,-.32300001
.15000001,55704,.50999999,.69400001,1,.88,.87300003
.13,55575,.69,.382,0,.88999999,-.55400002
.14,48639,.57999998,.47999999,0,.95999998,-.294
.38,36359,.75,.30000001,0,.50999999,-.53799999
.07,67349,.41,.71700001,1,.94,1.2
.13,49869,.5,.70700002,1,.94,.77600002
.17,45236,.56,.54000002,1,.94999999,.78100002
.15000001,49390,.54000002,.54900002,1,.92000002,.88599998
.13,51731,.33000001,.74199998,1,.88999999,.93199998
